Incrementer Task: Data = 1
Resetter Task: Data reset to 0
Incrementer Task: Data = 1
Resetter Task: Data reset to 0
Incrementer Task: Data = 1
Resetter Task: Data reset to 0
Incrementer Task: Data = 1
Resetter Task: Data reset to 0
Incrementer Task: Data = 1
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
Random Fault Task: Simulating random fault...
